x,y,vx,vy,Paddle.y
690,250,-3,-3,250
687,247,-3,-3,81
684,244,-3,-3,81
681,241,-3,-3,81
678,238,-3,-3,81
675,235,-3,-3,81
672,232,-3,-3,81
669,229,-3,-3,81
666,226,-3,-3,81
663,223,-3,-3,81
660,220,-3,-3,81
657,217,-3,-3,81
654,214,-3,-3,81
651,211,-3,-3,81
648,208,-3,-3,81
645,205,-3,-3,81
642,202,-3,-3,81
639,199,-3,-3,81
636,196,-3,-3,81
633,193,-3,-3,81
630,190,-3,-3,81
627,187,-3,-3,81
624,184,-3,-3,81
621,181,-3,-3,81
618,178,-3,-3,81
615,175,-3,-3,81
612,172,-3,-3,81
609,169,-3,-3,90
606,166,-3,-3,105
603,163,-3,-3,118
600,160,-3,-3,127
597,157,-3,-3,133
594,154,-3,-3,135
591,151,-3,-3,138
588,148,-3,-3,139
585,145,-3,-3,142
582,142,-3,-3,144
579,139,-3,-3,146
576,136,-3,-3,147
573,133,-3,-3,147
570,130,-3,-3,147
567,127,-3,-3,147
564,124,-3,-3,147
561,121,-3,-3,147
558,118,-3,-3,147
555,115,-3,-3,147
552,112,-3,-3,147
549,109,-3,-3,147
546,106,-3,-3,147
543,103,-3,-3,147
540,100,-3,-3,147
537,97,-3,-3,147
534,94,-3,-3,147
531,91,-3,-3,147
528,88,-3,-3,147
525,85,-3,-3,147
522,82,-3,-3,147
519,79,-3,-3,147
516,76,-3,-3,147
513,73,-3,-3,147
510,70,-3,-3,147
507,67,-3,-3,147
504,64,-3,-3,147
501,61,-3,-3,147
498,58,-3,-3,147
495,55,-3,-3,147
492,52,-3,-3,147
489,49,-3,-3,147
486,46,-3,-3,147
483,43,-3,-3,147
480,40,-3,-3,147
477,37,-3,-3,147
474,34,-3,-3,147
471,31,-3,-3,147
468,28,-3,-3,147
465,25,-3,-3,146
462,22,-3,-3,141
459,25,-3,3,140
456,28,-3,3,138
453,31,-3,3,138
450,34,-3,3,138
447,37,-3,3,138
444,40,-3,3,138
441,43,-3,3,138
438,46,-3,3,138
435,49,-3,3,138
432,52,-3,3,138
429,55,-3,3,139
426,58,-3,3,146
423,61,-3,3,155
420,64,-3,3,159
417,67,-3,3,162
414,70,-3,3,166
411,73,-3,3,168
408,76,-3,3,171
405,79,-3,3,173
402,82,-3,3,175
399,85,-3,3,177
396,88,-3,3,177
393,91,-3,3,177
390,94,-3,3,177
387,97,-3,3,177
384,100,-3,3,177
381,103,-3,3,177
378,106,-3,3,177
375,109,-3,3,177
372,112,-3,3,177
369,115,-3,3,177
366,118,-3,3,177
363,121,-3,3,177
360,124,-3,3,177
357,127,-3,3,177
354,130,-3,3,177
351,133,-3,3,177
348,136,-3,3,177
345,139,-3,3,177
342,142,-3,3,177
339,145,-3,3,177
336,148,-3,3,177
333,151,-3,3,177
330,154,-3,3,177
327,157,-3,3,177
324,160,-3,3,177
321,163,-3,3,177
318,166,-3,3,177
315,169,-3,3,177
312,172,-3,3,177
309,175,-3,3,177
306,178,-3,3,177
303,181,-3,3,192
300,184,-3,3,226
297,187,-3,3,239
294,190,-3,3,246
291,193,-3,3,250
288,196,-3,3,252
285,199,-3,3,253
282,202,-3,3,254
279,205,-3,3,254
276,208,-3,3,256
273,211,-3,3,257
270,214,-3,3,260
267,217,-3,3,265
264,220,-3,3,269
261,223,-3,3,277
258,226,-3,3,281
255,229,-3,3,284
252,232,-3,3,286
249,235,-3,3,287
246,238,-3,3,287
243,241,-3,3,287
240,244,-3,3,287
237,247,-3,3,287
234,250,-3,3,287
231,253,-3,3,287
228,256,-3,3,287
225,259,-3,3,287
222,262,-3,3,287
219,265,-3,3,287
216,268,-3,3,287
213,271,-3,3,287
210,274,-3,3,287
207,277,-3,3,287
204,280,-3,3,287
201,283,-3,3,287
198,286,-3,3,287
195,289,-3,3,287
192,292,-3,3,287
189,295,-3,3,287
186,298,-3,3,287
183,301,-3,3,287
180,304,-3,3,287
177,307,-3,3,287
174,310,-3,3,287
171,313,-3,3,287
168,316,-3,3,287
165,319,-3,3,287
162,322,-3,3,287
159,325,-3,3,287
156,328,-3,3,287
153,331,-3,3,287
150,334,-3,3,287
147,337,-3,3,287
144,340,-3,3,287
141,343,-3,3,287
138,346,-3,3,287
135,349,-3,3,287
132,352,-3,3,287
129,355,-3,3,287
126,358,-3,3,287
123,361,-3,3,287
120,364,-3,3,287
117,367,-3,3,287
114,370,-3,3,287
111,373,-3,3,287
108,376,-3,3,287
105,379,-3,3,287
102,382,-3,3,287
99,385,-3,3,287
96,388,-3,3,287
93,391,-3,3,287
90,394,-3,3,287
87,397,-3,3,287
84,400,-3,3,287
81,403,-3,3,287
78,406,-3,3,287
75,409,-3,3,287
72,412,-3,3,287
69,415,-3,3,287
66,418,-3,3,287
63,421,-3,3,287
60,424,-3,3,287
57,427,-3,3,287
54,430,-3,3,287
51,433,-3,3,287
48,436,-3,3,287
45,439,-3,3,287
42,442,-3,3,287
39,445,-3,3,285
36,448,-3,3,285
33,451,-3,3,285
30,454,-3,3,285
27,457,-3,3,286
24,460,-3,3,287
21,463,-3,3,289
24,466,3,3,291
27,469,3,3,294
30,472,3,3,295
33,475,3,3,297
36,478,3,3,298
39,475,3,-3,300
42,472,3,-3,304
45,469,3,-3,306
48,466,3,-3,308
51,463,3,-3,312
54,460,3,-3,315
57,457,3,-3,317
60,454,3,-3,318
63,451,3,-3,318
66,448,3,-3,318
69,445,3,-3,318
72,442,3,-3,318
75,439,3,-3,318
78,436,3,-3,319
81,433,3,-3,321
84,430,3,-3,321
87,427,3,-3,322
90,424,3,-3,322
93,421,3,-3,322
96,418,3,-3,322
99,415,3,-3,322
102,412,3,-3,322
105,409,3,-3,322
108,406,3,-3,323
111,403,3,-3,320
114,400,3,-3,316
117,397,3,-3,302
120,394,3,-3,292
123,391,3,-3,282
126,388,3,-3,278
129,385,3,-3,274
132,382,3,-3,272
135,379,3,-3,270
138,376,3,-3,269
141,373,3,-3,266
144,370,3,-3,261
147,367,3,-3,254
150,364,3,-3,244
153,361,3,-3,237
156,358,3,-3,230
159,355,3,-3,224
162,352,3,-3,218
165,349,3,-3,214
168,346,3,-3,213
171,343,3,-3,211
174,340,3,-3,210
177,337,3,-3,207
180,334,3,-3,205
183,331,3,-3,203
186,328,3,-3,200
189,325,3,-3,198
192,322,3,-3,194
195,319,3,-3,192
198,316,3,-3,188
201,313,3,-3,185
204,310,3,-3,182
207,307,3,-3,181
210,304,3,-3,178
213,301,3,-3,177
216,298,3,-3,175
219,295,3,-3,174
222,292,3,-3,171
225,289,3,-3,170
228,286,3,-3,168
231,283,3,-3,166
234,280,3,-3,163
237,277,3,-3,160
240,274,3,-3,158
243,271,3,-3,157
246,268,3,-3,156
249,265,3,-3,156
252,262,3,-3,154
255,259,3,-3,154
258,256,3,-3,154
261,253,3,-3,154
264,250,3,-3,154
267,247,3,-3,154
270,244,3,-3,153
273,241,3,-3,153
276,238,3,-3,152
279,235,3,-3,149
282,232,3,-3,148
285,229,3,-3,148
288,226,3,-3,148
291,223,3,-3,148
294,220,3,-3,148
297,217,3,-3,148
300,214,3,-3,148
303,211,3,-3,148
306,208,3,-3,148
309,205,3,-3,148
312,202,3,-3,148
315,199,3,-3,148
318,196,3,-3,148
321,193,3,-3,148
324,190,3,-3,148
327,187,3,-3,148
330,184,3,-3,148
333,181,3,-3,148
336,178,3,-3,148
339,175,3,-3,148
342,172,3,-3,148
345,169,3,-3,148
348,166,3,-3,148
351,163,3,-3,145
354,160,3,-3,135
357,157,3,-3,126
360,154,3,-3,117
363,151,3,-3,110
366,148,3,-3,107
369,145,3,-3,104
372,142,3,-3,104
375,139,3,-3,103
378,136,3,-3,102
381,133,3,-3,101
384,130,3,-3,100
387,127,3,-3,99
390,124,3,-3,98
393,121,3,-3,98
396,118,3,-3,98
399,115,3,-3,98
402,112,3,-3,98
405,109,3,-3,98
408,106,3,-3,98
411,103,3,-3,98
414,100,3,-3,98
417,97,3,-3,98
420,94,3,-3,98
423,91,3,-3,98
426,88,3,-3,98
429,85,3,-3,98
432,82,3,-3,98
435,79,3,-3,98
438,76,3,-3,98
441,73,3,-3,98
444,70,3,-3,98
447,67,3,-3,98
450,64,3,-3,98
453,61,3,-3,98
456,58,3,-3,98
459,55,3,-3,98
462,52,3,-3,98
465,49,3,-3,98
468,46,3,-3,98
471,43,3,-3,96
474,40,3,-3,93
477,37,3,-3,91
480,34,3,-3,91
483,31,3,-3,91
486,28,3,-3,91
489,25,3,-3,91
492,22,3,-3,91
495,25,3,3,91
498,28,3,3,91
501,31,3,3,91
504,34,3,3,91
507,37,3,3,91
510,40,3,3,98
513,43,3,3,106
516,46,3,3,113
519,49,3,3,118
522,52,3,3,121
525,55,3,3,123
528,58,3,3,124
531,61,3,3,126
534,64,3,3,127
537,67,3,3,128
540,70,3,3,129
543,73,3,3,132
546,76,3,3,137
549,79,3,3,143
552,82,3,3,149
555,85,3,3,154
558,88,3,3,156
561,91,3,3,156
564,94,3,3,157
567,97,3,3,157
570,100,3,3,157
573,103,3,3,157
576,106,3,3,157
579,109,3,3,157
582,112,3,3,159
585,115,3,3,160
588,118,3,3,164
591,121,3,3,166
594,124,3,3,169
597,127,3,3,170
600,130,3,3,171
603,133,3,3,172
606,136,3,3,172
609,139,3,3,172
612,142,3,3,172
615,145,3,3,172
618,148,3,3,172
621,151,3,3,172
624,154,3,3,172
627,157,3,3,172
630,160,3,3,172
633,163,3,3,172
636,166,3,3,172
639,169,3,3,172
642,172,3,3,172
645,175,3,3,172
648,178,3,3,172
651,181,3,3,172
654,184,3,3,172
657,187,3,3,172
660,190,3,3,174
663,193,3,3,179
666,196,3,3,185
669,199,3,3,190
666,202,-3,3,191
663,205,-3,3,191
660,208,-3,3,191
657,211,-3,3,191
654,214,-3,3,192
651,217,-3,3,193
648,220,-3,3,193
645,223,-3,3,193
642,226,-3,3,193
639,229,-3,3,193
636,232,-3,3,193
633,235,-3,3,193
630,238,-3,3,193
627,241,-3,3,193
624,244,-3,3,193
621,247,-3,3,193
618,250,-3,3,193
615,253,-3,3,193
612,256,-3,3,193
609,259,-3,3,193
606,262,-3,3,193
603,265,-3,3,193
600,268,-3,3,193
597,271,-3,3,193
594,274,-3,3,193
591,277,-3,3,193
588,280,-3,3,193
585,283,-3,3,193
582,286,-3,3,193
579,289,-3,3,193
576,292,-3,3,193
573,295,-3,3,193
570,298,-3,3,193
567,301,-3,3,193
564,304,-3,3,193
561,307,-3,3,193
558,310,-3,3,193
555,313,-3,3,193
552,316,-3,3,193
549,319,-3,3,193
546,322,-3,3,193
543,325,-3,3,193
540,328,-3,3,193
537,331,-3,3,193
534,334,-3,3,193
531,337,-3,3,193
528,340,-3,3,193
525,343,-3,3,193
522,346,-3,3,193
519,349,-3,3,193
516,352,-3,3,193
513,355,-3,3,193
510,358,-3,3,194
507,361,-3,3,203
504,364,-3,3,212
501,367,-3,3,219
498,370,-3,3,224
495,373,-3,3,226
492,376,-3,3,229
489,379,-3,3,230
486,382,-3,3,232
483,385,-3,3,234
480,388,-3,3,235
477,391,-3,3,236
474,394,-3,3,238
471,397,-3,3,242
468,400,-3,3,244
465,403,-3,3,246
462,406,-3,3,248
459,409,-3,3,252
456,412,-3,3,254
453,415,-3,3,256
450,418,-3,3,260
