x,y,vx,vy,Paddle.y
684,244,-6,-6,137
678,238,-6,-6,81
672,232,-6,-6,81
666,226,-6,-6,81
660,220,-6,-6,81
654,214,-6,-6,81
648,208,-6,-6,81
642,202,-6,-6,81
636,196,-6,-6,81
630,190,-6,-6,81
624,184,-6,-6,81
618,178,-6,-6,81
612,172,-6,-6,81
606,166,-6,-6,84
600,160,-6,-6,104
594,154,-6,-6,126
588,148,-6,-6,135
582,142,-6,-6,139
576,136,-6,-6,144
570,130,-6,-6,146
564,124,-6,-6,147
558,118,-6,-6,147
552,112,-6,-6,147
546,106,-6,-6,147
540,100,-6,-6,147
534,94,-6,-6,147
528,88,-6,-6,147
522,82,-6,-6,147
516,76,-6,-6,147
510,70,-6,-6,147
504,64,-6,-6,147
498,58,-6,-6,147
492,52,-6,-6,147
486,46,-6,-6,147
480,40,-6,-6,147
474,34,-6,-6,147
468,28,-6,-6,147
462,22,-6,-6,146
456,28,-6,6,144
450,34,-6,6,138
444,40,-6,6,138
438,46,-6,6,138
432,52,-6,6,138
426,58,-6,6,138
420,64,-6,6,146
414,70,-6,6,158
408,76,-6,6,165
402,82,-6,6,170
396,88,-6,6,175
390,94,-6,6,177
384,100,-6,6,177
378,106,-6,6,177
372,112,-6,6,177
366,118,-6,6,177
360,124,-6,6,177
354,130,-6,6,177
348,136,-6,6,177
342,142,-6,6,177
336,148,-6,6,177
330,154,-6,6,177
324,160,-6,6,177
318,166,-6,6,177
312,172,-6,6,177
306,178,-6,6,177
300,184,-6,6,182
294,190,-6,6,219
288,196,-6,6,245
282,202,-6,6,251
276,208,-6,6,253
270,214,-6,6,255
264,220,-6,6,260
258,226,-6,6,270
252,232,-6,6,280
246,238,-6,6,285
240,244,-6,6,287
234,250,-6,6,287
228,256,-6,6,287
222,262,-6,6,287
216,268,-6,6,287
210,274,-6,6,287
204,280,-6,6,287
198,286,-6,6,287
192,292,-6,6,287
186,298,-6,6,287
180,304,-6,6,287
174,310,-6,6,287
168,316,-6,6,287
162,322,-6,6,287
156,328,-6,6,287
150,334,-6,6,287
144,340,-6,6,287
138,346,-6,6,287
132,352,-6,6,287
126,358,-6,6,287
120,364,-6,6,287
114,370,-6,6,287
108,376,-6,6,287
102,382,-6,6,287
96,388,-6,6,287
90,394,-6,6,287
84,400,-6,6,287
78,406,-6,6,287
72,412,-6,6,287
66,418,-6,6,287
60,424,-6,6,287
54,430,-6,6,287
48,436,-6,6,287
42,442,-6,6,287
36,448,-6,6,286
30,454,-6,6,285
24,460,-6,6,285
30,466,6,6,287
36,472,6,6,293
42,478,6,6,296
48,472,6,-6,212
54,466,6,-6,306
60,460,6,-6,311
66,454,6,-6,316
72,448,6,-6,318
78,442,6,-6,318
84,436,6,-6,318
90,430,6,-6,320
96,424,6,-6,321
102,418,6,-6,322
108,412,6,-6,322
114,406,6,-6,322
120,400,6,-6,319
126,394,6,-6,303
132,388,6,-6,284
138,382,6,-6,274
144,376,6,-6,270
150,370,6,-6,265
156,364,6,-6,253
162,358,6,-6,237
168,352,6,-6,224
174,346,6,-6,215
180,340,6,-6,211
186,334,6,-6,207
192,328,6,-6,202
198,322,6,-6,197
204,316,6,-6,191
210,310,6,-6,185
216,304,6,-6,180
222,298,6,-6,176
228,292,6,-6,173
234,286,6,-6,169
240,280,6,-6,165
246,274,6,-6,160
252,268,6,-6,157
258,262,6,-6,155
264,256,6,-6,154
270,250,6,-6,154
276,244,6,-6,153
282,238,6,-6,152
288,232,6,-6,149
294,226,6,-6,148
300,220,6,-6,148
306,214,6,-6,148
312,208,6,-6,148
318,202,6,-6,148
324,196,6,-6,148
330,190,6,-6,148
336,184,6,-6,148
342,178,6,-6,148
348,172,6,-6,148
354,166,6,-6,148
360,160,6,-6,142
366,154,6,-6,126
372,148,6,-6,111
378,142,6,-6,105
384,136,6,-6,103
390,130,6,-6,101
396,124,6,-6,99
402,118,6,-6,98
408,112,6,-6,98
414,106,6,-6,98
420,100,6,-6,98
426,94,6,-6,98
432,88,6,-6,98
438,82,6,-6,98
444,76,6,-6,98
450,70,6,-6,98
456,64,6,-6,98
462,58,6,-6,98
468,52,6,-6,98
474,46,6,-6,98
480,40,6,-6,95
486,34,6,-6,91
492,28,6,-6,91
498,22,6,-6,91
504,28,6,6,117
510,34,6,6,91
516,40,6,6,93
522,46,6,6,105
528,52,6,6,117
534,58,6,6,122
540,64,6,6,125
546,70,6,6,128
552,76,6,6,132
558,82,6,6,143
564,88,6,6,153
570,94,6,6,156
576,100,6,6,157
582,106,6,6,157
588,112,6,6,157
594,118,6,6,161
600,124,6,6,166
606,130,6,6,170
612,136,6,6,171
618,142,6,6,172
624,148,6,6,172
630,154,6,6,172
636,160,6,6,172
642,166,6,6,172
648,172,6,6,172
654,178,6,6,172
660,184,6,6,172
666,190,6,6,172
660,196,-6,6,179
654,202,-6,6,184
648,208,-6,6,188
642,214,-6,6,152
636,220,-6,6,188
630,226,-6,6,209
624,232,-6,6,191
618,238,-6,6,218
612,244,-6,6,215
606,250,-6,6,219
600,256,-6,6,189
594,262,-6,6,189
588,268,-6,6,229
582,274,-6,6,234
576,280,-6,6,189
570,286,-6,6,240
564,292,-6,6,232
558,298,-6,6,189
552,304,-6,6,249
546,310,-6,6,191
540,316,-6,6,244
534,322,-6,6,255
528,328,-6,6,235
522,334,-6,6,189
516,340,-6,6,191
510,346,-6,6,243
504,352,-6,6,191
498,358,-6,6,253
492,364,-6,6,259
486,370,-6,6,271
480,376,-6,6,201
474,382,-6,6,202
468,388,-6,6,262
462,394,-6,6,263
456,400,-6,6,225
450,406,-6,6,207
444,412,-6,6,267
438,418,-6,6,261
432,424,-6,6,213
426,430,-6,6,245
420,436,-6,6,251
414,442,-6,6,261
408,448,-6,6,218
402,454,-6,6,250
396,460,-6,6,233
390,466,-6,6,231
384,472,-6,6,220
378,478,-6,6,255
372,472,-6,-6,187
366,466,-6,-6,255
360,460,-6,-6,289
354,454,-6,-6,274
348,448,-6,-6,209
342,442,-6,-6,205
336,436,-6,-6,221
330,430,-6,-6,221
324,424,-6,-6,190
318,418,-6,-6,247
312,412,-6,-6,221
306,406,-6,-6,256
300,400,-6,-6,220
294,394,-6,-6,208
288,388,-6,-6,255
282,382,-6,-6,255
276,376,-6,-6,193
270,370,-6,-6,214
264,364,-6,-6,221
258,358,-6,-6,255
252,352,-6,-6,237
246,346,-6,-6,192
240,340,-6,-6,221
